0	0.132	0.002
1000	0.762	0.477
2000	0.787	0.583
3000	0.777	0.642
4000	0.770	0.678
5000	0.806	0.723
6000	0.816	0.758
7000	0.809	0.769
8000	0.810	0.757
9000	0.803	0.760
10000	0.817	0.773
11000	0.812	0.764
12000	0.819	0.775
13000	0.830	0.784
14000	0.825	0.784
15000	0.832	0.785
16000	0.826	0.797
17000	0.827	0.796
18000	0.833	0.794
19000	0.824	0.788
20000	0.827	0.797
21000	0.838	0.797
22000	0.831	0.796
23000	0.833	0.790
24000	0.830	0.799
25000	0.834	0.798
26000	0.830	0.797
27000	0.839	0.802
28000	0.840	0.802
29000	0.832	0.791
30000	0.838	0.805
31000	0.844	0.803
32000	0.836	0.804
33000	0.834	0.801
34000	0.837	0.805
35000	0.833	0.801
36000	0.835	0.796
37000	0.837	0.802
38000	0.840	0.798
39000	0.832	0.801
40000	0.834	0.805
41000	0.844	0.805
42000	0.838	0.809
43000	0.840	0.806
44000	0.836	0.808
45000	0.840	0.805
46000	0.825	0.800
47000	0.836	0.806
48000	0.847	0.807
49000	0.834	0.804
