0	0.113	0.001
1000	0.761	0.445
2000	0.789	0.581
3000	0.772	0.626
4000	0.807	0.743
5000	0.796	0.772
6000	0.789	0.787
7000	0.813	0.796
8000	0.819	0.804
9000	0.814	0.808
10000	0.816	0.818
11000	0.824	0.822
12000	0.817	0.826
13000	0.817	0.816
14000	0.827	0.836
15000	0.814	0.842
16000	0.818	0.839
17000	0.823	0.845
18000	0.831	0.852
19000	0.831	0.850
20000	0.814	0.844
21000	0.834	0.847
22000	0.829	0.851
23000	0.824	0.843
24000	0.832	0.850
25000	0.819	0.849
26000	0.827	0.848
27000	0.822	0.857
28000	0.834	0.856
29000	0.835	0.857
30000	0.829	0.854
31000	0.839	0.856
32000	0.833	0.855
33000	0.824	0.847
34000	0.834	0.858
35000	0.819	0.853
36000	0.834	0.857
37000	0.831	0.859
38000	0.838	0.860
39000	0.839	0.860
40000	0.840	0.858
41000	0.844	0.863
42000	0.834	0.859
43000	0.838	0.855
44000	0.843	0.862
45000	0.838	0.853
46000	0.832	0.860
47000	0.832	0.860
48000	0.842	0.862
49000	0.840	0.862
