0	0.147	0.009
1000	0.660	0.370
2000	0.627	0.341
3000	0.519	0.336
4000	0.603	0.437
5000	0.645	0.433
6000	0.622	0.358
7000	0.647	0.332
8000	0.522	0.414
9000	0.485	0.376
10000	0.641	0.359
11000	0.630	0.188
12000	0.652	0.388
13000	0.627	0.354
14000	0.575	0.391
15000	0.646	0.441
16000	0.526	0.282
17000	0.667	0.352
18000	0.627	0.313
19000	0.456	0.274
20000	0.670	0.312
21000	0.553	0.202
22000	0.669	0.376
23000	0.550	0.355
24000	0.620	0.366
25000	0.638	0.261
26000	0.644	0.420
27000	0.630	0.264
28000	0.674	0.359
29000	0.511	0.338
30000	0.643	0.321
31000	0.669	0.353
32000	0.656	0.395
33000	0.608	0.407
34000	0.630	0.380
35000	0.636	0.334
36000	0.652	0.405
37000	0.640	0.347
38000	0.608	0.294
39000	0.673	0.432
40000	0.606	0.433
41000	0.510	0.368
42000	0.644	0.276
43000	0.654	0.414
44000	0.667	0.417
45000	0.662	0.376
46000	0.662	0.378
47000	0.600	0.413
48000	0.558	0.243
49000	0.652	0.464
