0	0.165	0.006
1000	0.348	0.149
2000	0.163	0.001
3000	0.307	0.041
4000	0.348	0.029
5000	0.307	0.079
6000	0.348	0.149
7000	0.307	0.008
8000	0.044	0.079
9000	0.044	0.026
10000	0.307	0.006
11000	0.163	0.005
12000	0.307	0.008
13000	0.307	0.000
14000	0.044	0.008
15000	0.163	0.061
16000	0.138	0.061
17000	0.348	0.149
18000	0.307	0.008
19000	0.163	0.008
20000	0.163	0.005
21000	0.348	0.049
22000	0.307	0.008
23000	0.044	0.061
24000	0.307	0.005
25000	0.307	0.047
26000	0.000	0.061
27000	0.307	0.049
28000	0.138	0.001
29000	0.000	0.079
30000	0.000	0.008
31000	0.000	0.149
32000	0.307	0.001
33000	0.348	0.000
34000	0.348	0.016
35000	0.307	0.061
36000	0.348	0.000
37000	0.000	0.008
38000	0.163	0.001
39000	0.348	0.049
40000	0.000	0.001
41000	0.044	0.049
42000	0.348	0.061
43000	0.348	0.079
44000	0.138	0.020
45000	0.044	0.029
46000	0.000	0.020
47000	0.000	0.028
48000	0.307	0.006
49000	0.163	0.020
