0	0.069	0.006
1000	0.755	0.647
2000	0.758	0.683
3000	0.758	0.703
4000	0.781	0.712
5000	0.778	0.731
6000	0.752	0.724
7000	0.721	0.724
8000	0.743	0.714
9000	0.712	0.696
10000	0.761	0.758
11000	0.788	0.745
12000	0.775	0.734
13000	0.776	0.709
14000	0.779	0.724
15000	0.747	0.731
16000	0.751	0.727
17000	0.769	0.733
18000	0.735	0.751
19000	0.764	0.710
20000	0.750	0.714
21000	0.765	0.728
22000	0.755	0.732
23000	0.753	0.754
24000	0.770	0.761
25000	0.783	0.724
26000	0.774	0.737
27000	0.757	0.728
28000	0.787	0.735
29000	0.776	0.746
30000	0.746	0.754
31000	0.776	0.693
32000	0.775	0.727
33000	0.757	0.740
34000	0.778	0.728
35000	0.711	0.678
36000	0.778	0.756
37000	0.768	0.750
38000	0.774	0.735
39000	0.759	0.743
40000	0.744	0.705
41000	0.756	0.729
42000	0.741	0.730
43000	0.772	0.730
44000	0.782	0.752
45000	0.773	0.737
46000	0.766	0.741
47000	0.748	0.738
48000	0.734	0.727
49000	0.781	0.738
